id,projectId,wcagCriterionId,status,notes,createdAt,updatedAt
5306e6bf-6495-404e-9c15-65664a740728,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,dbbfa87d-0ed1-4b4b-b63c-2a9f75ff5a4d,passed,,,
4421ae4e-830a-424f-97f0-5ad384dd3474,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,a831e91c-9db5-42ed-98b0-859517e99564,passed,,,
8ea596b3-d14d-4282-a0dd-c844f452b6c9,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,fbae2332-9a2f-4de5-a2e8-93d44664f909,unknown,,,
2e5b2799-2cd3-4949-bd99-b50f26a1c0ad,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,73fc903b-3e33-460d-a942-d5bfb3a34254,passed,,,
e2b82297-d585-4f48-b1cb-42c22414a7d4,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,4a94beb7-198a-472f-8f94-59884d7b235c,not_tested,,,
a5689365-8b6a-4ddd-ba81-e747ef1a1e5e,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,c0dbc008-6147-462e-b77e-77e39976adb8,not_tested,,,
07f20dfd-1286-4f22-9a9c-c0f5f824f028,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,4cb21fff-b4e0-4bd5-a312-f472f8541396,not_tested,,,
7984595c-d66c-4592-b30b-b1c33f5da0c2,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,143487c8-c34d-4cf6-bb8d-ad91a9db7b53,not_tested,,,
030be159-a7ee-4e3c-9d88-81d7cb5f2e97,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,746bbe4a-dccb-4e47-8533-f973001a5986,not_tested,,,
76ba9fec-705c-4c09-beac-99cd5c609f99,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,73fc903b-3e33-460d-a942-d5bfb3a34254,not_tested,,,
d7a0f358-9e4e-413d-9b52-7a2d9191b902,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,89d02ab5-a3ba-47aa-8c7b-9c740cc8a23d,not_tested,,,
34b4611b-cad4-4bd4-b424-8775b828861b,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,35d250a4-d5a2-4d75-9ebd-6fc4c6da9cbc,not_tested,,,
1b3d7476-d17a-415c-b545-94a2ee69e673,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,1f36c6a9-6e39-462e-8051-67c0ac31e0b2,not_tested,,,
ffd1baca-20de-4884-8593-da2bfc058aa1,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,953b6042-bb8c-4124-ae4b-a5b1669fe425,not_tested,,,
7c5933d3-7860-4f12-ba7d-44daf4a8614e,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,a831e91c-9db5-42ed-98b0-859517e99564,not_tested,,,
cf275ccb-937c-4718-b1cb-98629b4d4399,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,cf8f7d38-2002-4ede-aa09-a382fd4c22f5,passed,,,
7aa2f9a5-e2a5-4567-9bf9-1857b57bb850,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,c0de8899-12e9-477c-b913-465b73abbab2,passed,,,
e74066bc-0521-4d0e-80cd-2c8e23991313,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,9b23fa6b-a0de-4779-b78a-2649f20d17e7,passed,,,
ac72b4cb-51ca-445e-bdd6-210efae07106,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,33e40f43-43f5-41ca-b045-f0c5e9dfff35,passed,,,
cbf35e16-697a-478d-adbf-8c6e603fd578,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,88a89d8b-2d58-49f9-a48a-8b016e1b2c6d,passed,,,
87c9e03c-eaa6-444d-a0c9-1eb29195b61e,d0d6504f-e0f0-48c3-95a4-4e25df146fc1,ff410b8a-6d0e-4769-8fb5-739d400af772,passed,,,
57a19f7f-dd24-49e7-86a1-bdf7cc53efaf,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,dbbfa87d-0ed1-4b4b-b63c-2a9f75ff5a4d,not_tested,,,
a5faa351-d75d-4619-86b5-f91528d4e690,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,f9bb183a-eaa4-40fd-b878-91858322913f,not_tested,,,
6af4ee3c-d9a3-49d9-be56-ddbc463ed75f,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,b6281778-5ec0-4256-87a2-3fcf1602341b,not_tested,,,
2f1dc945-7bf7-4ea8-a65f-e4a8a8445705,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,d1d29352-2853-4671-bd37-d2b466ab1cd0,not_tested,,,
8809f64f-fa2e-4ed9-a027-301a06bd8247,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,967dd178-96c9-487f-aaf9-6508032abe65,not_tested,,,
5a4a457f-db40-4177-8076-8158c93f7abb,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,cd31b01e-f6f1-4e3a-bbbe-c83d8c570848,not_tested,,,
77772739-f2ff-4fd5-867e-b8a109a29e57,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,c5da9884-1520-4257-9c7c-cfdf3e78c7a6,not_tested,,,
c101221c-5171-48e2-bc10-527806b8850b,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,8470b9ff-d787-4ca0-9afb-afd2e2d142a8,not_tested,,,
2a129b73-c021-4361-a14d-7ac97ac12bf8,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,df8f254d-1714-47bb-a54d-bf36898f2a4b,not_tested,,,
bb23e6db-64d5-4cfa-888c-ea4896e20240,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,fbae2332-9a2f-4de5-a2e8-93d44664f909,not_present,,,
160e469c-07cd-4eb9-b199-24683dc0710c,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,0723fb06-80ec-4d0d-92f5-1e7db63429b3,not_present,,,
572fc1f6-037b-49be-8180-31246a55cd98,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,d49a3d02-2506-4aab-b522-8da68ea1fe3d,not_tested,,,
147c3906-0808-42b4-b639-7884024aea83,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,9d3f3d32-d17b-4afc-8c92-2d7489183371,not_present,,,
2187272f-31a1-446c-8ac0-0b0716eb973e,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,347f946b-3342-4c99-9c2b-46baef3478eb,not_present,,,
3d2e58e4-3f3f-443d-a84c-ae34455be60d,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,7b9e5bd5-2826-494d-8c71-7b195eb70756,passed,,,
0b943442-c376-47cf-886f-cebf62336641,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,9b23fa6b-a0de-4779-b78a-2649f20d17e7,not_tested,,,
2c22b0d6-65ac-4110-9090-af441bfd7cf5,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,c0de8899-12e9-477c-b913-465b73abbab2,not_tested,,,
f14137b1-88e5-4d76-99bf-810ca6eb4433,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,cf8f7d38-2002-4ede-aa09-a382fd4c22f5,not_tested,,,
7744b82e-1017-4f80-8456-2658b637c849,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,33e40f43-43f5-41ca-b045-f0c5e9dfff35,not_tested,,,
70eb13f5-818e-40a9-a6ed-3e7e29092109,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,88a89d8b-2d58-49f9-a48a-8b016e1b2c6d,unknown,,,
5346e95a-46ae-49e9-abc5-201b81870fa1,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,ff410b8a-6d0e-4769-8fb5-739d400af772,unknown,,,
87391ddc-49b9-4187-83e8-ee0ecd71382b,ad66b287-7276-4c25-8d1f-dc2ac74fcd1f,41d09e8c-c857-457c-a799-ffc0539e7722,passed,,,
daea24c1-e40d-4a40-8dfc-c55fdd0b3a49,6b40737b-a874-4e09-8b16-d4de37a18487,8470b9ff-d787-4ca0-9afb-afd2e2d142a8,passed,,,
