id,projectId,sampleType,title,url,description,orderIndex,makeScreenshot,screenshotPath,screenshotAlt,createdAt,updatedAt
425fc548-81eb-43bf-820a-0d11385b6db4,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Verduurzamen woning,https://www.bunschoten.nl/verduurzamen-woning,,12,false,,,,
ce8c26b1-f16b-420a-b667-bb3c52497102,175959f5-2e6d-4655-bfcf-19f99237cb88,structured,Nieuws,https://www.bunschoten.nl/nieuws,,7,false,,,,
5bdfe394-3c01-4455-8167-0ef2d357f02a,175959f5-2e6d-4655-bfcf-19f99237cb88,structured,Contact en openingstijden,https://www.bunschoten.nl/contact-en-openingstijden,,6,false,,,,
f1047959-29c6-4777-9cc6-36b52634d4a4,175959f5-2e6d-4655-bfcf-19f99237cb88,structured,Samenstelling college,https://www.bunschoten.nl/samenstelling-college,,4,false,,,,
ecf13070-fcd7-4035-99bd-c829063974d4,6b427de6-113e-496c-adba-0645686f1a1d,structured,Robbert Kouwenhoven | Gemeente Eemnes,https://www.eemnes.nl/robbert-kouwenhoven,,4,false,,,,
5cfc11c3-82f4-4959-9eec-e1f04529e84e,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Trouwambtenaren,https://www.bunschoten.nl/trouwambtenaren,,1,false,,,,
9632d5c9-9056-420f-be9f-478dc351f8ce,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Contactformulier stap 1 - Algemeen contactformulier voor vragen en suggesties,https://www.bunschoten.nl/form/contactformulier/algemeen-contactformulier-voor-vragen-en-suggesties-0,,16,false,,,,
bb1794ee-9272-48c0-88bb-9fa44f15e1ca,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Contactformulier stap 2 - Uw gegevens,https://www.bunschoten.nl/form/contactformulier/uw-gegevens-1,,17,false,,,,
a720715e-1c1f-44be-95ec-d323aa6786dc,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Contactformulier stap 3 - Controleren,https://www.bunschoten.nl/form/contactformulier/overzicht-2,,18,false,,,,
11f83dab-836d-48f3-b438-8f4c129b9f4b,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,Gladheid en strooiroutes,https://www.bunschoten.nl/gladheid-en-strooiroutes,,13,false,,,,
d3008b70-548f-4abc-8045-c673585cf265,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,pdf,Organogram gemeente Bunschoten 2026 (PDF),https://cuatro.sim-cdn.nl/bunschoten/uploads/organogram_gemeente_bunschoten_2026.pdf?cb=zSrvvXGp,,20,false,,,,
072aa2b2-9e1f-47ba-987d-09c5d037700d,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,structured,80 jaar vrijheid,https://www.bunschoten.nl/80-jaar-vrijheid,,3,false,,,,
99cad158-aefa-4db7-bf3c-5f7c7efb10aa,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Home | GR JW,https://www.grjw.nl/,,1,false,,,,
b421d883-9a41-4eab-851d-3c11d9b3ad4d,0cfcaf8d-bd5d-4614-82ef-13de9c61ca62,structured,Voor gemeenten | GR JW,https://www.grjw.nl/voor-gemeenten,,2,false,,,,
3ad522c0-29c1-4ffa-bb29-16c86e7c5a66,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Duurzaamheid voor ondernemers,https://www.valkenswaard.nl/duurzaamheid-voor-ondernemers,,,false,,,,
3beaad5d-64bb-45d2-a58e-ad1d4def0164,9b59a171-e91e-48ed-86da-5946a1df3760,structured,"Belastingen, regelingen en subsidies",https://www.valkenswaard.nl/belastingen-regelingen-en-subsidies,,,false,,,,
f1c01f81-7a0d-46de-a617-ac0068562ccb,21a690ed-3af7-426d-ae0d-8b5c6218c565,structured,Hulp en ondersteuning (Wmo),https://www.beverwijk.nl/hulp-en-ondersteuning-wmo,Door klant aangedragen pagina,3,false,,,,
071d47b8-236a-44a7-965f-74b018168f31,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Gemeenteraad,https://www.valkenswaard.nl/gemeenteraad,,,false,,,,
5f163528-171f-4c6f-a219-f8c9b31dd600,21a690ed-3af7-426d-ae0d-8b5c6218c565,structured,Groene verhalen | Gemeente Beverwijk,https://www.beverwijk.nl/groene-verhalen,,20,false,,,,
